News#,Title Content,Match,Score,Polarity
1,"advanced magnetics admg in agreement","advanced",1,POSITIVE
2,"health research files for bankruptcy","",0,NEUTRAL
3,"numerex corp nmrx 2nd qtr jan 31 loss","loss",-1,NEGATIVE
4,"u.s. selling 12.8 billion dlrs of 3 and 6-mo bills march 30 to pay down 1.2 billion dlrs
","",0,NEUTRAL
5,"u.s. 2-year note average yield 6.43 pct stop 6.44 pct awarded at high yield 85 pct
","awarded",1,POSITIVE
6,"commodore cbu atari in settlement","",0,NEUTRAL
7,"baldrige supports nic talks on currencies","supports",1,POSITIVE
8,"triangle tri begins exchange offer","",0,NEUTRAL
9,"southmark sm unit in public offering of stock","",0,NEUTRAL
10,"eastman kodak co to sell holdings in icn pharmaceuticals and viratek inc
","",0,NEUTRAL
11,"feud persists at u.s. house budget committtee","",0,NEUTRAL
12,"treasury balances at fed rose on march 23","",0,NEUTRAL
13,"farm credit system seen needing 800 mln dlrs aid","",0,NEUTRAL
14,"usx x uss unit raises prices","",0,NEUTRAL
15,"unionist urges retaliation against japan","",0,NEUTRAL
16,"exxon (xon) gets 99.2 mln dlr contract","",0,NEUTRAL
17,"eaton (etn) gets 53.0 mln dlr contract","",0,NEUTRAL
18,"zaire authorized to buy pl 480 rice - usda","",0,NEUTRAL
19,"mcdonnell douglas gets 30.6 mln dlr contract","",0,NEUTRAL
20,"midivest acquires assets of business aviation","",0,NEUTRAL
21,"u.s. wheat credits for jordan switched","",0,NEUTRAL
22,"dollar expected to fall despite intervention","fall",-1,NEGATIVE
23,"u.s. to sell 12.8 billion dlrs in bills","",0,NEUTRAL
24,"inland steel iad to build new plant in indiana","",0,NEUTRAL
25,"eastman kodak ek to sell holdings","",0,NEUTRAL
26,"guinness sues boesky in federal court","sues",-1,NEGATIVE
27,"firm reduces sceptre resources srl holdings","",0,NEUTRAL
28,"gencorp board withdraws proposals to stagger directors terms
","",0,NEUTRAL
29,"acklands ltd 1st qtr feb 28 net","",0,NEUTRAL
30,"bull and bear group a bnbga cuts fund payouts","bull, a",0,NEUTRAL
31,"caltex to raise bahrain oil product prices","",0,NEUTRAL
32,"charter co qchr to complete reorganization","",0,NEUTRAL
33,"nashua nsh to purchase private disc maker","",0,NEUTRAL
34,"altron inc alrn 4th qtr jan 3","",0,NEUTRAL
35,"collins foods cf moves up warrant conversion","",0,NEUTRAL
36,"gencorp gy proposals withdrawn from meeting","",0,NEUTRAL
37,"weekly electric output up 2.4 pct from 1986","",0,NEUTRAL
38,"monolithic mmic to drop gate array line","",0,NEUTRAL
39,"api says distillate stocks off 4.07 mln bbls gasoline off 2.69 mln crude up 8.53 mln
","crude",-1,NEGATIVE
40,"vermont financial services vfsc sets payout","",0,NEUTRAL
41,"resorts international gets buyout proposal from ksz co inc
","",0,NEUTRAL
42,"vr business brokers expands operations","",0,NEUTRAL
43,"corrected - att t forms computer sales groups","",0,NEUTRAL
44,"great atlantic and pacific tea co inc gap div","great",1,POSITIVE
45,"gartner group gart acquires comtec program","",0,NEUTRAL
46,"u.s. car sales down 3.9 pct in mid-march","",0,NEUTRAL
47,"resorts int'l rt.a receives takeover offer","",0,NEUTRAL
48,"citicorp cci sees doubling in retail bank net","",0,NEUTRAL
49,"wd-40 co wdfc 2nd qtr feb 28 net","",0,NEUTRAL
50,"nasd to begin search for new president","",0,NEUTRAL
51,"brazil computer market to remain closed-minister","",0,NEUTRAL
52,"metalbanc in offering","",0,NEUTRAL
53,"northern indiana public svc ni again omits div","",0,NEUTRAL
54,"fed's johnson says dollar stabilized after fed took appropriate action
","appropriate",1,POSITIVE
55,"fed chairman volcker says bank proposals a worry","a, worry",0,NEUTRAL
56,"borman's inc brf declares qtly dividend","",0,NEUTRAL
57,"interleukin-2 ilto details warrant conversion","",0,NEUTRAL
58,"u.s. corn acreage seen near record low","",0,NEUTRAL
59,"kirschner kmdc completes purchase","",0,NEUTRAL
60,"u.s. senators seek to expand usda export bonus","bonus",1,POSITIVE
61,"fed's johnson says fed acted to stabilize dollar","stabilize",1,POSITIVE
62,"xoma xoma files for public offering","",0,NEUTRAL
63,"republic american rawc plans exchange offer","",0,NEUTRAL
64,"maryland national mdnt sees new name","",0,NEUTRAL
65,"venezuela to annouce partner for coal venture","",0,NEUTRAL
66,"gottschalks inc got 4th qtr net","",0,NEUTRAL
67,"borg-warner says it discussed possible takeover with irwin jacobs
","",0,NEUTRAL
68,"cyclops corp says cyacq's amended offer restates original conditions
","",0,NEUTRAL
69,"u.s. sugar quota may be eased congressman says","eased",1,POSITIVE
70,"mobil mob unit names group president","",0,NEUTRAL
71,"sony sne to ship sample optical disks","",0,NEUTRAL
72,"california microwave cmic takes 3rd qtr charge","",0,NEUTRAL
73,"crs sirrine plans major restructuring write off of up 43 mln dlrs
","restructuring",1,POSITIVE
74,"h.f. ahmanson and co ahm qtly dividend","",0,NEUTRAL
75,"borg-warner bor tells of talks with jacobs","",0,NEUTRAL
76,"canada vows to fight u.s. potash action","",0,NEUTRAL
77,"trintoc union carbide to build methanol plant","",0,NEUTRAL
78,"ormand industries omd unit to repay debt","debt",-1,NEGATIVE
79,"volcker calls dollar slide enough","enough",1,POSITIVE
80,"nasdaq march short interest was 184.9 mln shrs vs 215.7 mln shares in february
","",0,NEUTRAL
81,"rb industries rbi completes store sales","",0,NEUTRAL
82,"travelers tic unit sells mortgage certificates","",0,NEUTRAL
83,"nasdaq short interest in march falls","falls",-1,NEGATIVE
84,"goldman sachs sells signet sbk unit notes","",0,NEUTRAL
85,"nms pharmaceutical nmsi sets new blood test","",0,NEUTRAL
86,"american can ac sells convertible eurobonds","",0,NEUTRAL
87,"gencorp gy takeover group cancels hearing","",0,NEUTRAL
88,"gencorp gy fixes rights separation date","",0,NEUTRAL
89,"canada energy minister to make statement","",0,NEUTRAL
90,"american international aig sells african unit","",0,NEUTRAL
91,"oxford industries inc oxm 3rd qtr feb 27","",0,NEUTRAL
92,"union takes american airlines to court","",0,NEUTRAL
93,"portugal may have purchased u.s. corn","",0,NEUTRAL
94,"taiwan tendering thursday for u.s. corn","",0,NEUTRAL
95,"sri lanka tendering overnight for wheat","",0,NEUTRAL
96,"brazil announces new planning minister","",0,NEUTRAL
97,"digigraphic systems corp 4th qtr oper loss","loss",-1,NEGATIVE
98,"bayou byou in definitie merger agreement","",0,NEUTRAL
99,"apache apa files for 100 mln dlr offering","",0,NEUTRAL
100,"transcontinental tgp files new offer","",0,NEUTRAL
101,"computer identics corp cidn 4th qtr","",0,NEUTRAL
102,"fleet to acquire assets of mark iv iv unit","",0,NEUTRAL
103,"mikron instrument co mikr 1st qtr jan 31","",0,NEUTRAL
104,"golden north has encouraging drill results","golden, encouraging",2,POSITIVE
105,"unisys uis gets order from sweden","",0,NEUTRAL
106,"hawkeye hwkb issues preference stock","issues",-1,NEGATIVE
107,"austn feb annual m3 money supply rises 11.2 pct","",0,NEUTRAL
108,"ps group psg usair u move up deadline","",0,NEUTRAL
109,"tandon tcor says sears s still customer","",0,NEUTRAL
110,"mergers public offers seen among car dealers","",0,NEUTRAL
111,"comprehensive care corp cmph 3rd qtr net","comprehensive",1,POSITIVE
112,"chapman chpn in restructuring","restructuring",1,POSITIVE
113,"vestar inc vstr year loss","loss",-1,NEGATIVE
114,"univation inc univ expands europe distribution","",0,NEUTRAL
115,"sterling bancorp year net","",0,NEUTRAL
116,"first new hampshire banks inc div","",0,NEUTRAL
117,"house of fabrics hf quarterly dividend","",0,NEUTRAL
118,"bank of japan bought 200 to 300 mln dlrs this morning dealers said.
","",0,NEUTRAL
119,"miami-brazil and bank advisory committee agree to 60-day extension on credit lines
","",0,NEUTRAL
120,"japan buys modest amount of dollars dealers say","modest",1,POSITIVE
121,"miami-brazil says it expects to make no interest payments before march 31
","",0,NEUTRAL
122,"corrected-miami-brazil bank committee will transmit request for 60-day credit extension
","",0,NEUTRAL
123,"brazil/bank committee agree on credit request","",0,NEUTRAL
124,"japan's 1986/87 sugar cane output seen falling","falling",-1,NEGATIVE
125,"indian rocket launch fails","fails",-1,NEGATIVE
126,"australia's opposition party gaining popularity","opposition, gaining",0,NEUTRAL
127,"weeks petroleum ltd wpma.mel calendar 1986","",0,NEUTRAL
128,"bank of japan keeps intervening to hold dollar above 149 yen brokers
","",0,NEUTRAL
